paper_id,region,first_author,year,doi,paper_category,citations,depletion_claim,claim_sign,classifier_method
19,arabian,Gholamreza Joodaki,2014,,own-SHM,7,Iran with a rate of 25±6 Gt/yr has the most groundwater loss rate,depleting,regex
20,arabian,Mohamed A. Yassin,2024,10.3390/w16020246,mascon,7,,,empty
21,arabian,Arfan Arshad,2025,10.1016/j.ejrh.2025.102552,mascon,7,groundwater decline in Saudi Arabia throughout the 21st century,depleting,regex
22,arabian,Ahmed Mohamed,2023,10.3389/feart.2023.1227691,mascon,6,groundwater declining at a rate of -1.212 ± 0.012 cm/year,depleting,regex
23,arabian,Abdullah Othman,2024,10.1080/16583655.2024.2331991,mascon,6,decline of -6.3 mm to -9.2 mm in Hail; depletion of -5.22 mm in Al-Jouf; -4.5 mm in Al-Hudud Ash-Shamaliyah during dry period,depleting,regex
24,arabian,Ahmed Mohamed,2024,10.1016/j.jksus.2024.103172,mascon,5,−0.48 ± 0.02 cm yr−1,depleting,regex
25,arabian,Muhammad Usman,2024,10.1016/j.gsd.2024.101270,mascon,5,highest EWT decline is found in the Al Jouf Region where decline shows a 43% faster decline (in the cumulative trend model) and a three times faster decrease (in the decomposed trend model) in the recent GRACE-FO data,depleting,regex
26,arabian,Pierre Séraphin,2022,10.5194/egusphere-2022-22,mascon,3,2.4 ± 1.4 mm yr-1 natural recharge,depleting,regex
27,arabian,Abdulrahman Badaoud,2024,10.1109/igarss53475.2024.10642338,mascon,3,average annual decline in GWS is -6.7 mm/year,depleting,regex
28,arabian,A. Othman,2017,,mascon,2,sustainable extraction could be attained if the extraction is reduced by 3.5 to 4 km³/yr,depleting,regex
29,arabian,Yuhao Xiong,2025,10.1029/2024wr039837,own-SHM,1,"TWSA decline rates for Saudi Arabia, Iraq, and Iran are 11.48 ± 0.32, 3.56 ± 0.44, and 7.75 ± 0.45 km3/yr, respectively",depleting,regex
30,arabian,Nureldin A. A. Gido,2020,,own-SHM,0,,,empty
31,arabian,Abdulrahman Badaoud,2026,10.1080/10106049.2025.2610859,mascon,0,"GWS declines of –7.2 mm yr–1 in Madinah, –12.6 mm yr–1 in Al Qassim, and –2.3 mm yr–1 in Hofuf",depleting,regex
33,arabian,Nadhir Al-Ansari,2026,10.2139/ssrn.6533878,mascon,0,ΔGWS declining at -0.80 ± 0.014 cm/yr,depleting,regex
34,arabian,Pierre Séraphin,2022,10.5194/egusphere-2022-22-ac1,mascon,0,,,empty
35,arabian,Pierre Séraphin,2022,10.5194/egusphere-2022-22-rc3,mascon,0,2.4 mm.y-1 (with an uncertainty of 1.4 mm.y-1) natural recharge,depleting,regex
36,canning,Ikechukwu Kalu,2025,10.1016/j.jhydrol.2025.134035,mascon,5,"long-term drought evolution indicating risk of permanent shift in ecosystem composition, land degradation and aquifer depletion in the Canning Basin",depleting,manual-override
37,central_valley,Bridget R. Scanlon,2012,10.1073/pnas.1200311109,downstream-use,1357,groundwater depletion of ~330 km3 in the High Plains and ~80 km3 in the Central Valley (1962-2003),depleting,regex
38,central_valley,J. S. Famiglietti,2011,10.1029/2010gl046442,own-SHM,959,Central Valley lost 20.4 ± 3.9 mm yr−1 of groundwater,depleting,regex
39,central_valley,Bridget R. Scanlon,2012,10.1029/2011wr011312,own-SHM,444,groundwater depletion totaled 31.0 ± 3.0 km3,depleting,regex
40,central_valley,Brian Thomas,2017,10.1016/j.rse.2017.06.026,mascon,331,,,empty
41,central_valley,Donald F. Argus,2014,10.1002/2014gl059570,downstream-use,320,,,empty
43,central_valley,Michelle E. Miro,2018,10.3390/rs10010143,downstream-use,143,lost 20.3 km3 of groundwater between 2003 and 2010,depleting,regex
44,central_valley,Mu Xiao,2017,10.1002/2017gl073333,own-SHM,132,40.0 km3 of groundwater lost during 2012-2016 drought,depleting,regex
45,central_valley,Chandrakanta Ojha,2019,10.1029/2018jb016083,mascon,93,average groundwater loss of 6.1 ± 2.3 km3/year for San Joaquin Valley,depleting,regex
46,central_valley,Farshid Felfelani,2020,10.1029/2020wr027531,downstream-use,79,,,empty
47,central_valley,Zhen Liu,2019,10.3390/geosciences9100436,mascon,76,,,empty
48,central_valley,Bridget R. Scanlon,2021,10.1088/1748-9326/ac16ff,mascon,76,Marked storage depletion in the semi-arid southwestern Central Valley and south-central High Plains totaled ∼90 km3,depleting,regex
49,central_valley,Elias Massoud,2018,10.1038/s41598-018-31210-1,downstream-use,75,groundwater depletion will continue,depleting,regex
50,central_valley,Grace Carlson,2022,10.1029/2021jb023135,mascon,66,,,empty
51,central_valley,Vibhor Agarwal,2022,10.1016/j.scitotenv.2022.161138,own-SHM,65,groundwater loss is about 30 km3 from 2002 to 2016,depleting,regex
52,central_valley,Aakash Ahamed,2021,10.1016/j.scitotenv.2021.150635,downstream-use,50,net loss of stored groundwater during the study period,depleting,regex
54,central_valley,D. W. Vasco,2019,10.1038/s41598-019-52371-7,downstream-use,48,2.3 million acre-feet of estimated volume reduction between October 2015 and 2016,depleting,regex
55,central_valley,Sarfaraz Alam,2021,10.1029/2021wr030352,mascon,45,"Median aquifer storage recovery was 34% and 19% of the overdraft during the 2010–2011 and 2017–2019 post-drought years, respectively.",depleting,manual-override
56,central_valley,D. W. Vasco,2022,10.1038/s41598-022-07650-1,mascon,38,,,empty
57,central_valley,Donald F. Argus,2022,10.1029/2022gl099583,mascon,33,Central Valley lost groundwater at 2.2 ± 0.7 km3/yr from 2006 to 2021,depleting,regex
58,central_valley,W. C. Hammond,2019,10.1029/2019jb017354,downstream-use,29,,,empty
59,central_valley,Grace Carlson,2024,10.1016/j.rse.2024.114303,mascon,27,groundwater volume loss of 20.4+/-2.6 km3,depleting,regex
60,central_valley,Weijie Tan,2015,10.1016/j.asr.2015.08.034,own-SHM,26,,,empty
61,central_valley,Hrishikesh A. Chandanpurkar,2025,10.1126/sciadv.adx0298,mascon,26,unprecedented continental drying,depleting,manual-override
62,central_valley,Hansheng Wang,2021,10.1016/j.geog.2021.10.003,own-SHM,26,"GWS declining trends in Nevada, California, Arizona, and Texas",depleting,regex
63,central_valley,L. M. Thatch,2020,10.1111/gwat.12995,downstream-use,24,,,empty
64,central_valley,Elias Massoud,2020,10.3390/geosciences10020071,mascon,21,groundwater depletion of -46.60 km3 over 2003-2017,depleting,regex
65,central_valley,Kyra H. Kim,2021,10.1111/1752-1688.12898,downstream-use,16,,,empty
66,central_valley,Ruijie Zeng,2018,10.1029/2018wr022723,downstream-use,13,,,empty
67,central_valley,Joe Yazbeck,2023,10.3390/rs15020449,downstream-use,12,steady decrease in groundwater storage,depleting,regex
68,central_valley,Pang‐Wei Liu,2022,10.21203/rs.3.rs-1614517/v1,mascon,11,groundwater depletion rate of 2.41 km3/yr (2003–2021),depleting,regex
70,central_valley,M. L. Stevens,2025,10.1016/j.envsoft.2025.106368,downstream-use,4,groundwater storage loss in the Central Valley,depleting,regex
71,central_valley,Ernie Tretkoff,2011,10.1029/2011eo120015,downstream-use,0,"groundwater depletion in the Central Valley at a rate of about 30 mm/year equivalent water height, total 30 km³ over 78 months, two thirds from groundwater",depleting,regex
72,central_valley,Alys Caitlyn Thomas,2014,,own-SHM,0,,,empty
73,central_valley,Amber Jean Kuss,2011,,downstream-use,0,,,empty
74,central_valley,Michelle E. Miro,2017,,own-SHM,0,the Central Valley lost 20.3 km3 of groundwater between 2003 and 2010,depleting,regex
75,central_valley,Jayden Nam,2026,10.22541/essoar.15002172/v1,mascon,0,annual mean depth to water increased from 136 feet in 2002 to 245 feet in 2016,depleting,manual-override
76,central_valley,Yong Feng,2025,10.3390/rs17223683,own-SHM,0,"two prolonged droughts (2008, 2013) caused ≈91.45 km3 groundwater loss",depleting,regex
77,central_valley,A. J. Purdy,2023,10.1007/978-3-031-26588-4_40,mascon,0,"During the 2012-2016 drought, CA lost ~20 km3 in groundwater",depleting,regex
78,central_valley,Aimée Gibbons,2016,,downstream-use,0,,,empty
79,central_valley,L. M. Thatch,2017,,mascon,0,groundwater levels in California’s San Joaquin Valley have dropped more than 30 meters in some areas,depleting,regex
81,expansion-untagged,,,,downstream-use,,,,empty
82,expansion-untagged,,,10.26480/bdwre.01.2020.10.15,downstream-use,,net loss in groundwater storage is at mean rate of 85.01 mm per year,depleting,regex
83,expansion-untagged,,,10.5194/egusphere-2022-22-rc2,mascon,,2.4 ± 1.4 mm yr-1 of domain-averaged natural recharge,depleting,regex
84,expansion-untagged,,,10.5194/hess-2022-43-ec2,own-SHM,,GRACE trend value of −7.6 ± 0.6 Gt yr−1,depleting,regex
85,expansion-untagged,,,10.5194/egusphere-2022-1032-rc2,own-SHM,,,,empty
87,guarani,Jianli Chen,2010,10.1029/2010jd014689,own-SHM,115,average TWS deficit of ∼12 cm below the 7 year mean,depleting,regex
88,guarani,Lucas Vituri Santarosa,2024,10.1080/02626667.2024.2412741,downstream-use,9,,,empty
89,guarani,Annamária Kiss,2016,10.13168/agg.2016.0035,own-SHM,7,,,empty
90,guarani,Julia Pfeffer,2022,10.5194/egusphere-2022-1032,own-SHM,5,,,empty
91,guarani,Vanessa da Conceição Osório,2021,10.1590/2317-4889202120200079,own-SHM,3,positive recharge on the order of 1.5 cm per year,recovering,regex
92,guarani,Everton Pereira Bomfim,2007,10.1590/s0102-261x2007000400010,own-SHM,0,,,empty
93,guarani;canning,Simon Munier,2012,,own-SHM,17,groundwater depletion at a rate of 8 km3/year in the southern part of Guarani Aquifer System and 11 km3/year in Canning Basin,depleting,regex
94,high_plains,Bridget R. Scanlon,2012,10.1073/pnas.1200311109,downstream-use,1357,groundwater depletion of ~330 km3 in the High Plains and ~80 km3 in the Central Valley (1962-2003),depleting,regex
95,high_plains,Di Long,2014,10.1002/2013wr014581,own-SHM,577,,,empty
96,high_plains,Di Long,2013,10.1002/grl.50655,own-SHM,394,62.3 ± 17.7 km3,depleting,manual-override
97,high_plains,Laurent Longuevergne,2010,10.1029/2009wr008564,own-SHM,345,,,empty
99,high_plains,Matthew Rodell,2002,10.1016/s0022-1694(02)00060-4,own-SHM,291,annual groundwater storage change of about 6.7 mm,no-sign,manual-override
100,high_plains,Gil Strassberg,2007,10.1029/2007gl030139,own-SHM,230,,,empty
101,high_plains,Gil Strassberg,2009,10.1029/2008wr006892,own-SHM,219,,,empty
102,high_plains,Wanshu Nie,2018,10.1029/2017wr022178,mascon,103,,,empty
103,high_plains,Clara Chew,2014,10.1002/2014gl061206,downstream-use,86,TWS anomaly intensified by approximately 15% during summer 2013,depleting,manual-override
104,high_plains,Farshid Felfelani,2020,10.1029/2020wr027531,downstream-use,79,,,empty
105,high_plains,José Agustín Breña‐Naranjo,2014,10.1002/2014gl061213,downstream-use,76,groundwater storage declined by 125 ± 4.3 km3 from 2003 to 2013,depleting,regex
106,high_plains,Bridget R. Scanlon,2021,10.1088/1748-9326/ac16ff,mascon,76,Marked storage depletion in the semi-arid southwestern Central Valley and south-central High Plains totaled ∼90 km3,depleting,regex
107,high_plains,Alexander Y. Sun,2010,10.1029/2010gl043231,own-SHM,75,,,empty
108,high_plains,Md. Mafuzur Rahaman,2019,10.3390/environments6060063,own-SHM,66,,,empty
109,high_plains,Md. Mafuzur Rahaman,2019,10.3390/hydrology6010019,downstream-use,60,CRB experienced a loss of 41 million acre-feet groundwater from 2003 to 2014,depleting,regex
110,high_plains,Augusto Getirana,2019,10.1175/jhm-d-19-0096.1,mascon,58,,,empty
111,high_plains,Wondwosen M. Seyoum,2016,10.1016/j.advwatres.2016.04.014,downstream-use,45,,,empty
112,high_plains,Andrea E. Brookfield,2018,10.1029/2018wr023836,mascon,37,,,empty
113,high_plains,E. A. Rosenberg,2013,10.5194/hess-17-1475-2013,downstream-use,37,,,empty
114,high_plains,Hansheng Wang,2021,10.1016/j.geog.2021.10.003,own-SHM,26,"GWS declining trends in Nevada, California, Arizona, and Texas",depleting,regex
115,high_plains,Shuo Zhang,2023,10.1029/2023gl103419,downstream-use,24,,,empty
117,high_plains,Ruijie Zeng,2018,10.1029/2018wr022723,downstream-use,13,,,empty
118,high_plains,Yuting Zhou,2020,10.3390/rs12142257,mascon,7,overall annual average TWS for the Ogallala Aquifer was −0.60 cm/year,depleting,regex
119,high_plains,A. Richey,2016,10.1002/2015wr018329,downstream-use,5,near zero trend,stable,regex
120,high_plains,Lei Ji,2023,10.1111/1752-1688.13133,downstream-use,4,"EWTa trends: NHP +6.16 mm/yr, CHP -3.50 mm/yr, SHP -6.94 mm/yr",depleting,regex
121,high_plains,Yongjun Zhang,2019,10.1111/1752-1688.12798,own-SHM,4,"worst drought conditions occurred in September 2012, with an average TWS deficit of ~8 cm in the northern OAR and ~11 cm in the southern OAR",depleting,regex
123,high_plains,Ritesh Agrawal,2014,10.5194/isprsarchives-xl-8-329-2014,mascon,3,Ganga and Brahmaputra basins have shown an average annual change of -1.28 cm and -1.06 cm in terms of WEH,depleting,regex
124,high_plains,Davood Ghasemian,2016,,downstream-use,1,,,empty
127,high_plains,Ashraf Rateb,2026,10.1029/2025ef006653,mascon,0,GRACE‐based TWSA indicates net losses of 85 ± 15 km3 since 2002 in the arid western MRB–TX,depleting,regex
128,high_plains,Aimée Gibbons,2016,,downstream-use,0,,,empty
129,high_plains,Wanshu Nie,2017,,mascon,0,groundwater depletion due to irrigation dominates the simulated TWS signal,depleting,regex
130,high_plains,"Olusanya, Adeyinka",2025,,mascon,0,groundwater storage declined at a rate of approximately -0.0899 cm per year in West Texas,depleting,regex
131,igp,Matthew Rodell,2009,10.1038/nature08238,own-SHM,2845,groundwater depletion at a mean rate of 4.0 ± 1.0 cm yr⁻¹ equivalent height of water (17.7 ± 4.5 km³ yr⁻¹),depleting,regex
132,igp,J. S. Famiglietti,2014,10.1038/nclimate2425,downstream-use,1799,groundwater depletion the world over poses a far greater threat to global water security than is currently acknowledged,depleting,regex
133,igp,V. M. Tiwari,2009,10.1029/2009gl039401,own-SHM,817,groundwater loss at a rate of 54 ± 9 km3/yr,depleting,regex
134,igp,Petra Döll,2014,10.1002/2014wr015595,own-SHM,808,global GWD of 113 km3/yr during 2000–2009,depleting,regex
135,igp,Akarsh Asoka,2017,10.1038/ngeo2869,own-SHM,524,groundwater storage has declined in northern India at the rate of 2 cm yr−1 and increased by 1 to 2 cm yr−1 in southern India between 2002 and 2013,mixed,regex
137,igp,Di Long,2016,10.1038/srep24398,own-SHM,277,3.1 ± 0.1 cm/a (or 14 ± 0.4 km3/a) for Jan 2005–Dec 2010,depleting,manual-override
138,igp,Jianli Chen,2014,10.1016/j.gloplacha.2014.02.007,own-SHM,270,20.4 ± 7.1 Gt/yr over 10 years,depleting,manual-override
139,igp,Mohammad Shamsudduha,2012,10.1029/2011wr010993,own-SHM,241,groundwater depletion estimated from borehole hydrographs (−0.52 ± 0.30 km³ yr⁻¹) is within the range of satellite-derived estimates (−0.44 to −2.04 km³ yr⁻¹),depleting,regex
141,igp,Deep Shah,2019,10.1029/2019wr026284,downstream-use,201,,,empty
142,igp,Soumendra N. Bhanja,2016,10.1016/j.jhydrol.2016.10.042,own-SHM,192,,,empty
143,igp,Vimal Mishra,2016,10.1002/2016gl071407,downstream-use,180,2 year cumulative deficit of 51% in the Indo-Gangetic Plain,depleting,regex
144,igp,Debanjan Sinha,2016,10.1175/jhm-d-16-0047.1,own-SHM,128,highest peak deficit of 2158.00 mm observed in January 2015 over central India,depleting,regex
145,igp,Shoaib Ali,2021,10.3390/rs13173513,downstream-use,126,lost GWS of about -9.54 ± 1.27 km3 at the rate of -0.68 ± 0.09 km3/year from 2003 to 2016,depleting,manual-override
146,igp,Tandrila Sarkar,2020,10.1016/j.gsd.2020.100376,own-SHM,118,"maximum groundwater storage change by -7.52 cm/year in Delhi, northern Uttar Pradesh and some parts of Haryana",depleting,regex
147,igp,Amritendu Mukherjee,2018,10.1016/j.jhydrol.2018.02.005,downstream-use,103,,,empty
148,igp,Khandu,2016,10.1002/2015wr018113,own-SHM,101,TWS decline of 12.2 ± 3.4 km³/yr in Ganges and 9.1 ± 2.7 km³/yr in Brahmaputra-Meghna (2002–2014),depleting,regex
149,igp,Arfan Arshad,2022,10.1016/j.scitotenv.2022.156044,own-SHM,90,total loss of groundwater reserves varied in the IIB's 55 canal command areas with the highest loss observed in Dehli Doab by >50 km3,depleting,regex
150,igp,Shoaib Ali,2021,10.1016/j.jhydrol.2021.127315,mascon,84,4.16 ± 0.26 mm per year (2.97 ± 0.19 km3 per year),depleting,manual-override
151,igp,Mohammad Shamsudduha,2020,10.5194/esd-11-755-2020,mascon,83,"non-linear trends; linear declining trends in only two aquifer systems (Arabian, Canning)",depleting,regex
152,igp,Beas Barik,2017,10.5194/hess-21-3041-2017,own-SHM,80,statistically significant declining trend of groundwater storage in India during the last decade,depleting,regex
153,igp,Aarti Soni,2015,10.1016/j.gloplacha.2015.09.007,own-SHM,71,groundwater storage decline in Ganga basin at -1.28 ± 0.20 mm/month,depleting,regex
154,igp,Abhishek Abhishek,2021,10.1016/j.jhydrol.2021.126069,own-SHM,64,"Krishna River Basin experienced the largest decrease in TWS and GWS with −30.95 mm yr−1 and −20.18 mm yr−1, respectively",depleting,regex
155,igp,Bhaskar Kundu,2015,10.1002/2015gl066616,downstream-use,60,"groundwater depletion rate of 54 ± 9 km3/yr in Indus, Ganga, Brahmaputra basins",depleting,regex
156,igp,Mioara Mandéa,2012,10.1073/pnas.1207346109,downstream-use,58,,,empty
157,igp,Swarup Dangar,2021,10.1088/1748-9326/ac2ceb,mascon,56,226.57 ± 25.22 km3 groundwater lost during 2002–2016,depleting,regex
158,igp,Mohammad Shamsudduha,2019,10.1016/j.ijdrr.2019.101068,downstream-use,54,northern India has lost approximately 109 km3 of groundwater between 2002 and 2008,depleting,regex
159,igp,Simon Opie,2020,10.5194/esd-11-775-2020,mascon,52,,,empty
160,igp,Soumendra N. Bhanja,2020,10.1080/02626667.2020.1716238,own-SHM,51,"Ganges and Brahmaputra basins lost groundwater at rates of -1.02 and -0.40 km3/year, respectively, based on in situ observations",depleting,regex
161,igp,Naresh Krishna Vissa,2019,10.1007/s12040-019-1148-z,downstream-use,48,groundwater depletion of ~1.6 cm/yr in northern India,depleting,regex
162,igp,W. G. Burgess,2017,10.1038/s41598-017-04159-w,downstream-use,43,,,empty
163,igp,Anuradha Karunakalage,2021,10.1016/j.gsd.2021.100559,own-SHM,42,"−60.33±5.00 mm/year and −80.00±6.12 mm/year from downscaled GRACE SH and JPL mascon, respectively",depleting,regex
164,igp,Qiujie Chen,2020,10.1029/2019jb018892,own-SHM,42,,,empty
165,igp,Shivam Rawat,2022,10.1038/s41598-022-18511-2,mascon,41,TWS is depleting for most of the subbasins in India,depleting,regex
166,igp,R. S. Chatterjee,2019,10.1016/j.gsd.2019.100307,own-SHM,39,severe groundwater depletion in north-western India,depleting,regex
167,igp,Deep Shah,2020,10.1029/2020jd033566,mascon,38,TWS declined at −0.63 cm yr−1 during 2002–2016 in the Indian subcontinent,depleting,regex
168,igp,Pragnaditya Malakar,2021,10.1021/acsestengg.0c00238,downstream-use,37,higher declining trends will potentially be observed in parts of north-central and south India,depleting,regex
169,igp,Arfan Arshad,2024,10.1029/2023wr035882,mascon,36,"TWS and GWS decline rate between 2002 and 2023: Dehli Doab (−442, −585 mm/year), BIST Doab (−367, −556 mm/year), Rajasthan (−242, −381 mm/year), and BARI (−188, −333 mm/year)",depleting,regex
170,igp,Ajish P. Saji,2020,10.1029/2018jf004943,own-SHM,36,unsustainable consumption of groundwater associated to irrigation and other anthropogenic uses influences the subsidence rate in the IGP and sub‐Himalaya,depleting,regex
171,igp,Diksha Gupta,2020,10.1080/01431161.2020.1797218,downstream-use,36,,,empty
172,igp,D. K. Panda,2020,10.1002/hyp.14003,mascon,34,groundwater storage loss in northern India has increased rapidly from 17 km3 to 189 km3 between the pre-2002 and 2002–2013 periods,depleting,manual-override
173,igp,K. Satish Kumar,2022,10.1016/j.scitotenv.2022.159289,mascon,34,,,empty
174,igp,R.D. Meghwal,2019,10.1007/s41976-019-00026-6,mascon,34,groundwater storage from GRACE has declined with a rate of −3.67 km3/year between 2002 and 2016 in WI,depleting,regex
175,igp,D. K. Panda,2022,10.1029/2021ef002513,mascon,33,GRACE observed large-scale water storage losses in the Indo-Gangetic alluvial aquifer of north India,depleting,regex
176,igp,Pawan Kumar Gautam,2024,10.1016/j.envc.2024.100874,downstream-use,33,groundwater depletion in Uttar Pradesh,depleting,regex
177,igp,Hua Xie,2020,10.1016/j.ejrh.2020.100681,own-SHM,31,groundwater depletion rate of 23.9 km3 H2O/yr (mean) in northwest India,depleting,regex
178,igp,Sreekanth Janardhanan,2023,10.1038/s41598-023-28615-y,mascon,30,groundwater storage loss of -1.7 cm/year (median) from GRACE,depleting,regex
179,igp,Claire Pascal,2022,10.5194/hess-26-4169-2022,mascon,28,,,empty
180,igp,Vimal Mishra,2024,10.1029/2024ef004516,mascon,28,rapid groundwater depletion (~1.5 cm/year) with a net loss of 450 km3 of groundwater during 2002–2021,depleting,regex
181,igp,V. M. Tiwari,2014,10.1016/j.pepi.2014.03.002,own-SHM,27,,,empty
182,igp,Anil Kumar Singh,2018,10.1016/j.quaint.2018.10.036,downstream-use,26,,,empty
183,igp,Muhammad Abdus Salam,2020,10.26480/bdwre.01.2020.13.18,downstream-use,24,net loss in groundwater storage is at mean rate of 85.01 mm per year,depleting,regex
184,igp,Akhilesh S. Nair,2020,10.1080/01431161.2020.1763503,mascon,23,maximum GW depletion rate of 0.25 cm per month for a time period from 2009 to 2016 in Karnataka,depleting,regex
185,igp,Param K. Gautam,2017,10.1007/s40899-017-0109-4,own-SHM,22,Meerut region shows more depletion of -2.76 ± 0.87 cm/year compared to Lucknow at -1.46 ± 0.74 cm/year,depleting,regex
186,igp,Natthachet Tangdamrongsub,2011,10.1007/s11069-011-9793-9,own-SHM,21,water storage losses occur in this region,depleting,regex
187,igp,Chandan Banerjee,2018,10.1007/s11269-018-2070-x,downstream-use,21,,,empty
188,igp,Leelambar Singh,2020,10.1007/s40899-020-00399-3,downstream-use,20,groundwater storage has been decreasing for many years,depleting,regex
189,igp,Linfeng Fan,2023,10.1029/2022wr034243,downstream-use,20,,,empty
190,igp,Jung‐Rack Kim,2023,10.1109/tgrs.2023.3305863,downstream-use,19,ground subsidence up to 120 mm/year,depleting,manual-override
191,igp,Pranshu Pranjal,2021,10.1007/s12665-021-09905-y,mascon,18,"groundwater depletion at the rate of 46.26 cm/year, 49.16 cm/year, 120.77 cm/year and 237.69 cm/year at Dera Bassi, Landran, Singhpura, and Ambala respectively; GRACE TWS change of 12.65 cm/year",depleting,regex
192,igp,Jaydeo K. Dharpure,2025,10.1029/2024wr038279,mascon,18,Annual GWSA demonstrates that a major portion (83.7%) of the basin is experiencing significant decline (<−0.15 cm/yr) at p < 0.05.,depleting,regex
193,igp,Pragay Shourya Moudgil,2023,10.1007/s12665-023-11137-1,mascon,18,negative GWL trend in the Ganga River basin suggests continuous decline due to anthropogenic groundwater withdrawal,depleting,regex
194,igp,Yingjun Pang,2020,10.1016/j.iswcr.2020.06.004,mascon,17,TWS decreased at a rate of 3.14 mm yr-1,depleting,regex
195,igp,Tandrila Sarkar,2022,10.31577/congeo.2022.52.1.1,mascon,17,"Himalayan River basins 1,2,3 exhibit high GWS mass loss (−260 to −35.12 km³), with Basin 2 being the highest (−260 km³)",depleting,regex
196,igp,Ashwani Raju,2024,10.1016/j.scitotenv.2024.170932,downstream-use,17,continuous depletion (14.6 ± 5.6 mm/yr),depleting,regex
197,igp,Dilip Kumar,2021,10.2166/hydro.2021.108,downstream-use,17,groundwater is depleting in hilly areas of the state,depleting,regex
198,igp,Akarsh Asoka,2020,10.1175/jhm-d-20-0085.1,mascon,16,groundwater depletion in NWI and NCI,depleting,regex
199,igp,Kashif Mehmood,2022,10.3390/w14203254,downstream-use,16,"groundwater declined from January 2003 to December 2016, with an overall decreasing trend of 0.44 mm per month",depleting,regex
200,igp,Md. Moniruzzaman Monir,2024,10.1016/j.heliyon.2024.e24481,downstream-use,13,GRACE TWS anomaly shows a decreasing trend of −1.22 cm/yr,depleting,regex
201,igp,Saurabh Srivastava,2022,10.1016/j.rsase.2021.100685,own-SHM,11,"GWS level depleted at rate 2.17 ± 0.06, 0.97 ± 0.06, and 0.74 ± 0.06 mm/month for first, second, third cluster respectively",depleting,regex
202,igp,Sourav Kumar,2022,10.1007/s12524-022-01580-1,mascon,10,maximum average declining rates were reported from NE and Central NE at a rate of 41.2 mm year-1 and 38.6 mm year-1,depleting,regex
203,igp,Subimal Nandi,2024,10.1007/s10661-024-12309-7,mascon,10,GWSA decreased -10.80 mm/yr (GRACE period),depleting,regex
204,igp,K. Satish Kumar,2022,10.3390/w14233852,mascon,10,"Telangana state experienced decreasing GWSA in the years 2005, 2009, and 2012, and from 2015 to 2019, leading to severe droughts.",depleting,regex
205,igp,Akhilesh S. Nair,2018,10.5194/isprs-annals-iv-5-129-2018,mascon,10,groundwater at a rate of 0.34 cm per year,no-sign,manual-override
206,igp,Fahad Alshehri,2023,10.3389/feart.2023.1225992,mascon,9,"average annual groundwater depletion rate in the Makkah region is −0.38 ± 0.017 mm/year, but it is lower in Wadi Fatimah (−0.18 ± 0.022 mm/year)",depleting,regex
